segment,model,series_id,row_count,mae,rmse,mape_percent
large_change_relative_top_25_percent,baseline_lag_1,37,4,0.65,0.7373940601876312,27.074633391101326
large_change_relative_top_25_percent,baseline_lag_1,39,1,3.0,3.0,20.0
large_change_relative_top_25_percent,baseline_lag_1,50,3,9.133333333333333,9.707385504518369,55.574639525021205
large_change_relative_top_25_percent,baseline_lag_1,51,1,1.75,1.75,24.137931034482758
large_change_relative_top_25_percent,gradient_boosting,3,1,0.07502472279318295,0.07502472279318295,8.574254033506623
large_change_relative_top_25_percent,gradient_boosting,16,6,1.6832479888622156,1.7025213533321653,21.609427563779064
large_change_relative_top_25_percent,gradient_boosting,19,8,0.7334207809013011,0.7893729932665023,17.77791498598002
large_change_relative_top_25_percent,gradient_boosting,20,5,1.2158124732619364,1.3012043415979393,25.90757098105987
large_change_relative_top_25_percent,gradient_boosting,22,3,2.8307714564800412,2.881351139293724,21.69771780912991
large_change_relative_top_25_percent,gradient_boosting,23,5,1.7289773342214878,1.957924181656884,28.88964522602462
large_change_relative_top_25_percent,gradient_boosting,26,6,2.152545574138588,2.211506378166348,20.6240760308139
large_change_relative_top_25_percent,gradient_boosting,28,1,0.1287119936456983,0.1287119936456983,12.78172727365425
large_change_relative_top_25_percent,gradient_boosting,29,4,0.5690009713714792,0.5849300411787269,20.475101868636546
large_change_relative_top_25_percent,gradient_boosting,30,4,0.7498546956907775,0.7502128765980965,19.63964317818396
large_change_relative_top_25_percent,gradient_boosting,31,2,0.4013333064440888,0.41108063195344124,18.404695788943215
large_change_relative_top_25_percent,gradient_boosting,32,1,0.32292189019385065,0.32292189019385065,12.814360721978199
large_change_relative_top_25_percent,gradient_boosting,33,4,0.9911322493066751,0.998198526410263,43.34113037241873
large_change_relative_top_25_percent,gradient_boosting,34,10,0.6348927995473906,1.0035936375543233,23.823744584255778
large_change_relative_top_25_percent,gradient_boosting,35,5,3.310196159726128,3.605410821564167,27.691649919537138
large_change_relative_top_25_percent,gradient_boosting,36,2,0.9151659426182142,0.9151660112391783,21.834543473854396
large_change_relative_top_25_percent,gradient_boosting,37,4,0.630143432971085,0.7169820950822171,26.260625667455173
large_change_relative_top_25_percent,gradient_boosting,39,1,2.948849614742162,2.948849614742162,19.658997431614413
large_change_relative_top_25_percent,gradient_boosting,50,3,8.383392586234805,9.001461470905067,52.164480379781416
